date, pm25, pm10, o3, no2, so2, co
2023/4/24, 31, 16, 31, 12, , 
2023/4/25, 43, 20, 34, 17, , 
2023/4/26, 52, 17, 33, 13, , 
2023/4/27, 47, 9, 26, 7, , 
2023/4/28, 20, 15, 28, 7, , 
2023/4/29, 52, 18, 32, 13, , 
2023/4/30, 61, 18, 30, 12, , 
2023/5/1, 62, 19, 29, 13, , 
2023/5/2, 53, 19, 37, 12, , 
2023/5/3, 49, 15, 38, 8, , 
2023/5/4, 40, 9, 34, 7, , 
2023/5/5, 26, 12, 32, 13, , 
2023/5/6, 37, 9, 27, 9, , 
2023/5/7, 32, 10, 26, 6, , 
2023/5/8, 40, 7, 27, 8, , 
2023/5/9, 27, 11, 28, 8, , 
2023/5/10, 33, 14, 25, 11, , 
2023/5/11, 38, 11, 24, 13, , 
2023/5/12, 33, 27, 42, 10, , 
2023/5/13, 68, 26, 37, 7, , 
2023/5/14, 70, 21, 28, 9, , 
2023/5/15, 60, 16, 29, 8, , 
2023/5/16, 31, 17, 33, 10, , 
2023/5/17, 46, 21, 39, 9, , 
2023/5/18, 49, 26, 41, 9, , 
2023/5/19, 59, 24, 39, 8, , 
2023/5/20, 59, 23, 37, 7, , 
2023/5/21, 62, 25, 35, 8, , 
2023/5/22, 60, , 34, 8, , 
2023/5/25, 53, 31, 38, 9, , 
2023/5/26, 60, 26, 40, 8, , 
2023/5/27, 54, 27, 49, 8, , 
2023/5/28, 60, 27, 38, 5, , 
2023/5/29, 55, 26, 40, 7, , 
2023/5/30, 50, 28, 45, 8, , 
2023/5/31, 51, 32, 47, 9, , 
2023/6/1, 64, 26, 38, 7, , 
2023/6/2, 57, 27, 41, 8, , 
2023/6/3, 60, 20, 44, 7, , 
2023/6/4, 43, 25, 46, 8, , 
2023/6/5, 48, 29, 49, 9, , 
2023/6/6, 62, 34, 55, 9, , 
2023/6/8, 66, 27, 58, 14, , 
2023/6/9, 62, 15, 41, 7, , 
2023/6/10, 51, 21, 36, 11, , 
2023/6/11, 64, 22, 37, 10, , 
2023/6/12, 61, 26, 54, 14, , 
2023/6/13, 65, 28, 60, 17, , 
2023/6/14, 60, 27, 65, 16, , 
2023/6/15, 64, 27, 73, 17, , 
2023/6/16, 64, 22, 56, 10, , 
2023/6/17, 61, 18, 38, 7, , 
2023/6/18, 58, 19, 33, 8, , 
2023/6/19, 59, , 38, 7, , 
2023/6/20, 40, 19, 48, 10, , 
2023/6/21, 41, 16, 31, 11, , 
2023/6/22, 52, 15, 52, 8, , 
2023/6/23, 50, 15, 62, 10, , 
2023/6/24, 40, 16, 67, 7, , 
2023/6/25, 54, 15, 38, 5, , 
2023/6/26, 34, 17, 39, 6, , 
2023/6/27, 57, 22, 42, 8, , 
2023/6/28, 58, 39, 28, 9, , 
2023/6/29, 99, 12, 37, 5, , 
2023/6/30, 53, 12, 37, 3, , 
2023/1/2, 20, 13, 18, 12, , 
2023/1/3, 37, 6, 25, 6, , 
2023/1/4, 21, 5, 24, 8, , 
2023/1/5, 16, 7, 24, 7, , 
2023/1/6, 22, 7, 20, 7, , 
2023/1/7, 28, 6, 27, 5, , 
2023/1/8, 21, 8, 27, 6, , 
2023/1/9, 16, 12, 21, 12, , 
2023/1/10, 29, 3, 22, 5, , 
2023/1/11, 11, 10, 27, 6, , 
2023/1/12, 21, 9, 29, 6, , 
2023/1/13, 23, 8, 26, 6, , 
2023/1/14, 18, 6, 29, 5, , 
2023/1/15, 15, 5, 28, 7, , 
2023/1/16, 14, 18, 11, 18, , 
2023/1/17, 48, 16, 18, 15, , 
2023/1/18, 47, 13, 15, 15, , 
2023/1/19, 46, 16, 14, 16, , 
2023/1/20, 49, 23, 13, 13, , 
2023/1/21, 70, 22, 14, 11, , 
2023/1/22, 70, 22, 9, 12, , 
2023/1/23, 69, 23, 8, 14, , 
2023/1/24, 72, 30, 6, 14, , 
2023/1/25, 89, 32, 17, 21, , 
2023/1/26, 88, 15, 20, 13, , 
2023/1/27, 41, 17, 16, 12, , 
2023/1/28, 58, 27, 21, 20, , 
2023/1/29, 79, 17, 15, 17, , 
2023/1/30, 50, 18, 19, 17, , 
2023/1/31, 39, 19, 24, 10, , 
2023/2/1, 36, 13, 25, 11, , 
2023/2/2, 25, 9, 25, 11, , 
2023/2/3, 19, 16, 17, 15, , 
2023/2/4, 37, 14, 25, 10, , 
2023/2/5, 27, 23, 16, 15, , 
2023/2/6, 46, 21, 13, 17, , 
2023/2/7, 54, 27, 11, 21, , 
2023/2/8, 74, 56, 5, 32, , 
2023/2/9, 133, 39, 15, 24, , 
2023/2/10, 101, 28, 20, 22, , 
2023/2/11, 84, 13, 20, 12, , 
2023/2/12, 51, 38, 9, 25, , 
2023/2/13, 97, 58, 6, 33, , 
2023/2/14, 140, 60, 5, 32, , 
2023/2/15, 147, 30, 22, 20, , 
2023/2/16, 75, 8, 18, 9, , 
2023/2/17, 35, 7, 28, 5, , 
2023/2/18, 26, 12, 28, 8, , 
2023/2/19, 35, 23, 12, 22, , 
2023/2/20, 50, 53, 5, 33, , 
2023/2/21, 110, 31, 8, 17, , 
2023/2/22, 82, 19, 16, 13, , 
2023/2/23, 55, 26, 21, 12, , 
2023/2/24, 71, 14, 27, 9, , 
2023/2/25, 34, 14, 27, 8, , 
2023/2/26, 35, 14, 24, 10, , 
2023/2/27, 37, 20, 22, 15, , 
2023/2/28, 61, 28, 21, 17, , 
2023/3/1, 77, 41, 15, 20, , 
2023/3/2, 104, 36, 14, 15, , 
2023/3/3, 98, 26, 22, , , 
2023/3/4, 70, 15, 22, 12, , 
2023/3/5, 59, 18, 23, 10, , 
2023/3/6, 64, 13, 28, 8, , 
2023/3/7, 46, 7, 31, 8, , 
2023/3/8, 31, 13, 31, 5, , 
2023/3/9, 31, 8, 29, 8, , 
2023/3/10, 31, 8, 26, 9, , 
